62.30	46	5.16	0.40	11.10	19	32	27	1	1
42.90	59	4.58	1.00	5.80	14	26	8	0	1
98.60	21	1.30	39.40	26.60	12	4	15	1	2
27.40	60	1.11	3.50	2.50	4	10	10	1	4
56.00	59	1.24	32.60	5.90	18	15	20	2	2
30.60	71	2.23	18.20	3.20	3	4	7	0	3
64.30	58	1.77	17.00	6.30	3	4	8	0	4
60.40	54	1.40	1.10	6.70	5	10	10	0	4
82.10	48	1.12	56.30	7.60	16	6	16	1	1
53.80	81	1.19	35.20	3.50	13	9	17	2	1
34.00	75	0.73	0.00	3.10	1	2	3	0	4
91.50	49	1.82	2.40	10.00	4	18	9	0	11
20.00	74	1.13	14.70	2.60	2	5	4	0	2
33.10	68	0.61	2.80	3.80	0	7	3	0	3
55.40	62	0.72	0.00	5.80	1	2	3	0	5
98.60	30	1.46	20.10	16.10	24	11	28	1	11
71.60	72	1.28	33.40	4.70	20	3	21	1	14
48.50	105	1.88	19.20	2.40	6	13	6	0	25
84.20	54	2.35	25.80	8.00	12	3	15	1	14
76.90	53	2.05	22.90	7.90	16	10	17	1	16
19.20	93	2.18	20.30	2.70	21	0	26	0	8
51.90	77	1.76	10.50	3.20	7	10	1	1	15
11.10	84	1.65	31.90	2.10	11	2	7	1	10
9.40	63	1.54	0.00	2.80	7	4	13	0	3
31.20	66	1.26	14.90	6.00	4	3	8	0	5
79.60	48	1.31	32.60	8.70	21	1	22	2	3
49.20	66	1.05	38.20	6.70	9	0	11	0	1
69.50	70	1.03	33.90	5.00	19	1	23	0	3
47.30	77	1.19	11.60	3.30	9	5	14	0	4
98.00	28	1.09	67.90	17.90	15	1	36	4	1
5.70	59	1.67	15.40	2.60	8	5	16	0	4
98.70	14	1.81	46.70	37.70	13	0	12	1	1
63.80	44	1.56	19.20	9.00	18	2	20	0	7
51.30	63	1.74	5.20	5.10	15	6	21	1	11
63.00	69	3.29	6.80	4.40	15	4	17	1	10
25.90	79	1.85	63.80	2.30	6	1	10	0	1
21.90	75	3.22	5.50	2.90	21	6	22	1	9
64.70	62	3.07	13.20	5.90	27	19	28	1	6
39.30	78	1.75	9.70	3.00	26	9	23	1	1
66.10	65	1.58	28.80	5.40	12	6	14	1	6
42.50	68	3.48	2.60	3.90	22	8	23	1	17
52.00	63	4.11	1.90	5.00	13	4	13	0	11
76.30	53	3.59	1.10	7.80	16	8	16	1	8
66.20	70	1.36	24.70	5.40	15	3	18	1	6
33.60	74	1.25	1.80	3.60	4	2	9	0	5
17.10	80	1.82	0.00	2.70	18	11	24	1	3
24.30	85	2.28	0.00	2.40	17	6	19	0	14
86.30	54	1.72	60.50	8.70	14	5	17	0	3
60.00	74	1.78	28.10	4.10	12	3	17	0	5
33.70	61	1.35	1.00	4.50	16	5	15	0	20
43.50	69	2.29	0.00	3.70	12	4	15	0	16
37.30	82	2.41	1.00	2.50	19	10	19	2	13
38.30	83	1.54	13.80	2.50	14	6	20	0	9
11.10	59	1.61	0.00	2.90	11	1	16	0	11
71.70	77	1.14	27.10	4.00	19	8	25	1	7
79.00	42	2.43	0.40	7.30	14	9	16	1	12
93.30	43	2.60	34.60	10.40	29	5	28	2	4
2.00	43	1.80	0.00	2.10	18	4	28	0	1
29.60	71	1.71	36.10	2.10	14	1	18	1	3
7.30	92	2.77	0.00	1.40	1	2	3	1	19
58.80	82	2.95	24.40	3.50	5	4	6	0	28
8.50	71	2.00	30.30	2.30	1	0	2	0	3
16.60	94	2.11	30.30	2.00	5	5	8	0	18
29.40	91	3.33	7.70	2.50	4	3	6	0	19
4.20	120	2.52	0.00	1.30	3	4	5	1	2
29.40	94	1.25	10.50	2.30	3	7	6	0	9
14.80	111	3.23	10.90	1.60	5	8	6	0	13
8.50	107	3.97	8.60	1.70	5	9	7	1	8
2.70	118	3.02	0.00	1.10	3	8	6	0	21
6.50	85	3.70	0.00	2.60	3	3	6	0	11
54.70	85	2.37	0.50	3.30	8	5	7	1	33
5.50	79	5.20	0.00	2.80	2	0	4	0	9
6.30	108	2.80	0.00	1.60	3	0	6	0	9
29.00	103	1.93	12.60	1.60	7	4	11	1	29
21.10	94	1.35	72.50	1.60	8	11	13	1	1
7.20	81	2.10	0.00	2.40	3	3	4	0	8
3.50	92	2.60	0.00	1.80	2	1	2	0	17
25.20	89	2.11	5.00	2.50	11	11	11	0	19
28.20	84	2.02	1.50	3.20	8	8	11	1	9
7.70	110	2.48	0.00	1.70	3	1	6	0	4
12.40	87	1.95	0.00	1.70	10	8	11	0	24
50.10	82	2.16	6.40	3.40	12	12	12	1	23
10.10	129	1.04	42.40	1.30	7	3	10	1	11
12.30	95	2.08	17.30	1.90	8	9	5	1	15
28.30	76	3.18	10.40	3.20	7	7	4	1	20
17.60	100	3.07	6.00	2.10	4	3	7	0	12
26.90	89	2.00	0.00	2.70	2	1	6	1	11
1.80	104	3.10	0.00	1.20	4	0	6	0	14
4.80	66	4.98	0.00	1.90	6	5	6	0	17
0.70	45	6.80	0.00	2.80	0	4	1	0	0
2.30	91	1.12	32.40	1.30	1	1	2	0	0
1.80	115	3.49	0.00	1.40	2	0	3	0	3
1.80	97	4.60	0.00	1.60	1	2	3	1	7
8.00	93	2.86	0.00	2.20	1	0	3	1	9
4.80	75	4.80	12.20	2.00	2	1	3	0	14
1.10	84	3.61	0.00	1.60	1	0	3	0	4
1.70	65	2.35	0.00	3.00	1	0	3	0	0
0.70	103	2.69	0.00	1.60	6	0	9	0	9
7.30	84	2.72	0.00	3.30	1	0	3	0	10
11.10	102	2.55	0.00	2.30	6	3	8	0	31
31.30	88	2.55	13.10	2.80	8	10	8	0	26
1.50	79	2.17	0.00	1.70	1	1	2	0	1
69.90	77	1.64	0.80	4.20	13	12	15	1	31
1.90	75	2.86	0.00	1.30	0	0	1	0	3
11.80	115	1.10	50.10	1.60	5	8	8	0	2
22.50	120	1.50	21.00	1.70	6	6	9	0	16
10.40	116	1.30	12.20	1.40	4	1	5	1	17
17.20	96	1.80	0.00	1.60	0	1	1	0	0
33.20	98	2.20	7.30	2.20	5	4	6	0	8
23.50	100	1.60	6.10	1.60	10	7	11	0	24
6.80	121	3.34	0.00	1.60	6	2	8	0	12
21.80	115	1.73	0.00	1.80	13	12	16	1	6
1.80	88	2.84	0.00	1.40	3	2	3	0	13
1.70	74	2.41	0.00	1.20	2	2	4	0	21
5.90	85	2.88	0.00	1.40	1	0	2	0	13
10.20	82	2.00	8.20	2.60	2	5	9	0	7
9.70	119	1.14	0.00	1.40	3	4	7	0	17
8.80	113	1.62	25.50	1.30	5	3	11	0	15
9.80	87	3.05	0.00	2.00	2	4	6	1	12
32.10	100	2.50	5.40	2.20	9	7	8	1	30
3.50	48	5.05	0.00	1.10	9	13	9	0	4
4.40	96	2.46	0.00	1.70	4	3	7	1	20
